,index,flooded-other,guessDepth,AuthorEmail,structure_damage,float_number,geo_locality,beach_damage,photo_time,marinas_comments,structures_comments,AuthorName,weather_calc_24hr_precip,buildings_street,geo_neighborhood,TideDataObserved,storm_damage,whatFlooded,weather_windBearing,post_comment,buildings_damage,cause-other,URL,geo_administrative_area_level_1,weather_windSpeed,road_damage,road_other,MyCoastAI-description,report_icon,from_device,response_other,anonymous,road_comments,ID #,images,location_latitude,buildings_comments,guessCause,geo_route,report_created,reportType,hazmat_damage damage-cat,alternate-location-name,boat_number,weather_temperature,photo_date,location_longitude,TideDataPredicted,beach_comments,marinas_damage,geo_administrative_area_level_2,hazmat_comments,brightness
10,10,,2,,,,,,9:21,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,231.0,Day 4,,,https://mycoast.org/reports/161393,NY,3.4,,,"a street with houses and trees,a view of a street from a window of a building,a street with cars and buildings",highwater.svg,iOS 17.4.1,,,,161393,https://report-images.nyc3.digitaloceanspaces.com/2024/04/09092253/c019f0f4201e7241495f8752e3268edaffea8b97.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/09092250/ea283adc497f16c698750557fbb7bddd1b1f24d9.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/09092247/c245278331877c8a533399e359e296811f7bcc48.jpg,40.5967060214,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-09T13:22:45Z,Flood Watch,,Far Rockaway - Beach 37,,57.2,2024-04-09,-73.7697147195,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,115.31
11,11,,2,,,,,,9:03,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,280.0,Beach 29th St,,,https://mycoast.org/reports/161384,NY,4.7,,,a street with a car parked on the side,highwater.svg,iOS 17.4.1,,,,161384,https://report-images.nyc3.digitaloceanspaces.com/2024/04/09090542/f9285e332490cc3ac446e9212fec9e1d998b3bec.jpg,40.5961355448,,Storm drain (Water pooling near a storm drain),Beach 29th St,2024-04-09T13:05:40Z,Flood Watch,,Far Rockaway Beach 29,,52.1,2024-04-09,-73.7622451304,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,127.94
12,12,,3,,,,,,8:58,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,280.0,Day 4,,,https://mycoast.org/reports/161380,NY,4.7,,,"a flooded street with a car parked on the side,traffic cones on the street",highwater.svg,iOS 17.4.1,,,,161380,https://report-images.nyc3.digitaloceanspaces.com/2024/04/09090115/a5723ef5e7a551fb35fc58f7401d30ead9125a32.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/09090111/ac30f80a67f1d6ef53875879047e58b879cfe7d1.jpg,40.5958819928,,Storm drain (Water pooling near a storm drain),B 32nd St,2024-04-09T13:01:09Z,Flood Watch,,Far Rockaway,,52.1,2024-04-09,-73.7647364024,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240408&edate=20240410&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,122.68
13,13,,3,,,,,,20:04,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240407&edate=20240409&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,216.0,Second flood of Day 3.,,,https://mycoast.org/reports/161371,NY,8.7,,,"a walkway with buildings on the side,a street with cars on it and buildings on the side",highwater.svg,iOS 17.4.1,,,,161371,https://report-images.nyc3.digitaloceanspaces.com/2024/04/08201118/3ace72314b1eb3016698833fd73d3e2361a3576f.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/08201114/da5683480f1da969a5635270b547182102dd8891.jpg,40.5966495429,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-09T00:11:11Z,Flood Watch,,Far Rockaway,,50.8,2024-04-08,-73.769775049,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240407&edate=20240409&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,39.24
14,14,,2,,,,,,8:23,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240407&edate=20240409&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,290.0,Still rising,,,https://mycoast.org/reports/161280,NY,3.6,,,"a puddle of water in a street,a flooded street with cars and houses",highwater.svg,iOS 17.4.1,,,,161280,https://report-images.nyc3.digitaloceanspaces.com/2024/04/08082845/3900ec62ac823a44c8b05da276986fafd68cc8ac.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/08082841/ee3b923e8089b5c16706d397bac6e3eb050ab9d1.jpg,40.5964360437,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-08T12:28:39Z,Flood Watch,,Far Rockaway,,48.6,2024-04-08,-73.7697588098,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240407&edate=20240409&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,103.73
15,15,,2,,,,,,7:59,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240407&edate=20240409&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,300.0,Day 3 has started after two floods yesterday,,,https://mycoast.org/reports/161275,NY,6.9,,,"a parking lot in front of a building,a blue car on a road",highwater.svg,iOS 17.4.1,,,,161275,https://report-images.nyc3.digitaloceanspaces.com/2024/04/08080119/1289ea52326c215a7a8d6525c13c54125ccf2456.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/08080116/57db097e729d6ab84a008b85ca55622e6bde4019.jpg,40.5964249061,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-08T12:01:13Z,Flood Watch,,Far Rockaway,,43.1,2024-04-08,-73.7697834216,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240407&edate=20240409&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,123.76
16,16,,2,,,,,,19:13,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240406&edate=20240408&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,162.0,Second flood of the day! The first lasted from approximately 7 am to 9 am,,,https://mycoast.org/reports/161207,NY,11.5,,,"a street with cars parked on the side,a street with a fire hydrant,a street with cars and buildings",highwater.svg,iOS 17.4.1,,,,161207,https://report-images.nyc3.digitaloceanspaces.com/2024/04/07191629/725e0fc775a7932b394f2effb95365ef18627964.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/07191625/265b4cb8cce23aeb3fd291770587d8928ede593d.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/07191621/b2a1cb8db23a15a9bdfec317a397f803b65ae5bd.jpg,40.5966940114,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-07T23:16:18Z,Flood Watch,,Far Rockaway,,48.8,2024-04-07,-73.7697744282,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240406&edate=20240408&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,138.68
17,17,,0,,,,,,7:53,,,,0.0,,Howard Beach,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240406&edate=20240408&timezone=LST/LDT&datum=MLLW&interval=6,,,350.0,,,,https://mycoast.org/reports/161128,NY,21.9,,,"a body of water with a bridge and buildings around it,a body of water with a bridge and buildings in the background",highwater.svg,iOS 15.8.2,,,,161128,https://report-images.nyc3.digitaloceanspaces.com/2024/04/07075424/13a33fb480a9b01a3a9ee89ecc49a232908125c3.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/07075420/d686b0b8d9783e1db89f7fc4a10c676be8d0423d.jpg,40.6583982893,,,160th Ave,2024-04-07T11:54:17Z,Flood Watch,,,,42.0,2024-04-07,-73.8327626233,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240406&edate=20240408&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,122.0
18,18,,3,,,,,,7:41,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240406&edate=20240408&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,350.0,Day 2,,,https://mycoast.org/reports/161123,NY,16.1,,,"a street with a row of houses,a person walking on a sidewalk,a flooded street with cars and buildings",highwater.svg,iOS 17.4.1,,,,161123,https://report-images.nyc3.digitaloceanspaces.com/2024/04/07074229/ee64d3706662f819554fc0305ff5fdea64565b32.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/07074227/5dcb0e0c7395de16f7a7952c45a4baf18f961050.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/07074223/27f34fef8ef649f6a1bc47899478cd54a137dca3.jpg,40.5966940297,,,Beach 37th St,2024-04-07T11:42:20Z,Flood Watch,,,,40.9,2024-04-07,-73.7697216337,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240406&edate=20240408&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,125.09
19,19,,3,,,,,,18:58,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240405&edate=20240407&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,340.0,Flooding advanced to cover most of the middle of the street.,,,https://mycoast.org/reports/161106,NY,17.2,,,a car on a road,highwater.svg,iOS 17.4.1,,,,161106,https://report-images.nyc3.digitaloceanspaces.com/2024/04/06190026/bfabb131112935be7a0a7bee916d8b978d88e764.jpg,40.5966717193,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-06T23:00:24Z,Flood Watch,,Far Rockaway,,47.9,2024-04-06,-73.7696707137,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240405&edate=20240407&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,133.95
20,20,,0,,,,,,18:53,,,,0.0,,Howard Beach,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8517201&units=standard&bdate=20240405&edate=20240407&timezone=LST/LDT&datum=MLLW&interval=6,,,330.0,,,,https://mycoast.org/reports/161102,NY,18.3,,,"a bird standing in a puddle of water in a parking lot,a parking lot with cars and a building in the background",highwater.svg,iOS 15.8.2,,,,161102,https://report-images.nyc3.digitaloceanspaces.com/2024/04/06185443/736755b1c74b55a3b8709ac0840222d01bd9b520.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/06185439/5453b9759426285d044556e3ae5983b9b0f596ad.jpg,40.6583760353,,,160th Ave,2024-04-06T22:54:37Z,Flood Watch,,,,49.0,2024-04-06,-73.8327888586,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8517201&units=standard&bdate=20240405&edate=20240407&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,121.94
21,21,,2,,,,,,18:26,,,,0.0,,Far Rockaway,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8516881&units=standard&bdate=20240405&edate=20240407&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,338.0,Day 1?,,,https://mycoast.org/reports/161097,NY,16.7,,,"a car on the road,a street with cars parked along it",highwater.svg,iOS 17.4.1,,,,161097,https://report-images.nyc3.digitaloceanspaces.com/2024/04/06182742/ede6398ef0795741e219a8171902a57de552b601.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/06182738/cdc972d31b39d4ae6f9c3d815a4b5fd80f8220a3.jpg,40.5966734139,,Storm drain (Water pooling near a storm drain),Beach 37th St,2024-04-06T22:27:35Z,Flood Watch,,"Far Rockaway, NY",,53.0,2024-04-06,-73.7697670316,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8516881&units=standard&bdate=20240405&edate=20240407&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Queens County,,128.58
22,22,,6,,,,,,15:52,,,,1.122,,Hunts Point,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518639&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=6,,Roads/streets,360.0,"Estimated water depth: 4-8.5in. This is at the same location as my previous report from the past two days for Hunts Point, Bronx County post rain. The water level has decreased overnight by 2-3.5in. Most of the puddles on the Edgewater Rd east sidewalk are dried up or 1in deep. The deepest section is by the DEP storm drain where the water level is 8.5in as can been seen in DSCF 431 where it is under my wellington handles.",,,https://mycoast.org/reports/160860,NY,13.1,,,"a person wearing sunglasses,a puddle of water on a road,a road with cars and trees,a flooded street with cars and trees",highwater.svg,,,No,,160860,https://report-images.nyc3.digitaloceanspaces.com/2024/04/05093729/79a59751483d9b49b417919a39ab3a1b3-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/05093723/79a59751483d9b49b417919a39ab3a1b2-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/05093717/79a59751483d9b49b417919a39ab3a1b1-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/05093709/79a59751483d9b49b417919a39ab3a1b-scaled.jpg,40.8172718173034,,Rainfall (Water pooling from direct rainfall),Lafayette Ave,2024-04-05T21:47:56Z,Flood Watch,,"East sidewalk of Edgewater Rd, Hunts Point, Bronx, NY by the corner of Edgewater Rd and Lafayette Aves adjacent to the CSX tracks.",,48.8,2024-04-04,-73.88300143933235,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518639&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Bronx County,,123.88
23,23,,,,,,Kingston,,14:42,,,,0.903,,Abeel St,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8518962&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=6,,Lawns/vegetation,360.0,,,,https://mycoast.org/reports/160787,NY,9.7,,,"a wooden bench next to a river,a park with a pond,a sign in a flooded area,a puddle of water in a park",highwater.svg,,,No,,160787,https://report-images.nyc3.digitaloceanspaces.com/2024/04/04163155/e6ffb61d4d92ed36e86ef0cbcc65dce43-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/04163149/e6ffb61d4d92ed36e86ef0cbcc65dce42-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/04163143/e6ffb61d4d92ed36e86ef0cbcc65dce41-scaled.jpg|https://report-images.nyc3.digitaloceanspaces.com/2024/04/04163136/e6ffb61d4d92ed36e86ef0cbcc65dce4-scaled.jpg,41.91405821561159,,Overland flooding (Nearby waterbody),Abeel St,2024-04-04T20:31:57Z,Flood Watch,,"Block Park, Abeel St., Kingston, NY",,42.3,2024-04-04,-73.9931081432518,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8518962&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=hilo,,,Ulster County,,110.68
24,24,,,,No Impacts,0.0,,Accessible,11:34,,,,0.795,,Oakwood,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8519436&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,300.0,,No Impacts,,https://mycoast.org/reports/160475,NY,13.9,No Impacts,,,nodamage.svg,Android 14,,No,,160475,,40.5536112,,,Fox Beach Ave,2024-04-04T15:35:15Z,Storm,None,,0.0,45.9,2024-04-04,-74.1165399,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8519436&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Richmond County,,
25,25,,,,No Impacts,0.0,,Accessible,11:18,,,,0.822,,Oakwood,https://tidesandcurrents.noaa.gov/waterlevels.html?id=8519436&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=6,No Impacts,,350.0,,No Impacts,,https://mycoast.org/reports/160467,NY,8.6,No Impacts,,a flooded area with a pole,nodamage.svg,Android 14,,,,160467,https://report-images.nyc3.digitaloceanspaces.com/2024/04/04111855/974f46163df4d2d4fa85dc7a5218ea5bc30fdcb2.jpg,40.5541052,,,Fox Beach Ave,2024-04-04T15:18:53Z,Storm,None,,0.0,43.7,2024-04-04,-74.1157164,https://tidesandcurrents.noaa.gov/noaatidepredictions.html?action=dailychart&id=8519436&units=standard&bdate=20240403&edate=20240405&timezone=LST/LDT&datum=MLLW&interval=hilo,,No Impacts,Richmond County,,116.92
